Date,Symbol,Order,Shares
2006-02-01,IBM,SELL,500
2006-02-24,IBM,BUY,500
2006-03-29,IBM,SELL,500
2006-05-03,IBM,BUY,500
2006-05-19,IBM,SELL,500
2006-06-29,IBM,BUY,500
2006-07-17,IBM,BUY,500
2006-08-10,IBM,SELL,500
2006-09-12,IBM,SELL,500
2006-09-27,IBM,BUY,500
2006-10-20,IBM,SELL,500
2006-11-15,IBM,BUY,500
2006-12-01,IBM,BUY,500
2006-12-26,IBM,SELL,500
2007-01-17,IBM,SELL,500
2007-02-13,IBM,BUY,500
2007-03-19,IBM,BUY,500
2007-04-27,IBM,SELL,500
2007-05-22,IBM,SELL,500
2007-06-22,IBM,BUY,500
2007-07-12,IBM,BUY,500
2007-08-02,IBM,SELL,500
2007-08-17,IBM,SELL,500
2007-09-17,IBM,BUY,500
2007-10-05,IBM,SELL,500
2007-11-12,IBM,BUY,500
2007-12-06,IBM,SELL,500
2008-01-08,IBM,BUY,500
2008-01-30,IBM,BUY,500
2008-02-20,IBM,SELL,500
2008-03-06,IBM,BUY,500
2008-03-24,IBM,SELL,500
2008-04-11,IBM,SELL,500
2008-04-28,IBM,BUY,500
2008-05-21,IBM,BUY,500
2008-06-12,IBM,SELL,500
2008-06-30,IBM,BUY,500
2008-07-17,IBM,SELL,500
2008-08-05,IBM,SELL,500
2008-09-19,IBM,BUY,500
2008-10-06,IBM,SELL,500
2008-10-21,IBM,BUY,500
2008-11-06,IBM,BUY,500
2008-12-03,IBM,SELL,500
2008-12-22,IBM,BUY,500
2009-01-20,IBM,SELL,500
2009-02-05,IBM,SELL,500
2009-02-26,IBM,BUY,500
2009-03-13,IBM,BUY,500
2009-04-08,IBM,SELL,500
2009-04-27,IBM,SELL,500
2009-05-14,IBM,BUY,500
2009-06-08,IBM,BUY,500
2009-06-23,IBM,SELL,500
2009-07-09,IBM,BUY,500
2009-08-03,IBM,SELL,500
2009-08-20,IBM,SELL,500
2009-09-04,IBM,BUY,500
2009-09-29,IBM,BUY,500
2009-10-19,IBM,SELL,500
2009-11-03,IBM,SELL,500
2009-11-20,IBM,BUY,500
2009-12-08,IBM,BUY,500
2009-12-28,IBM,SELL,500
