Date,Symbol,Order,Shares
2006-02-10,IBM,SELL,500
2006-03-06,IBM,BUY,500
2006-03-31,IBM,BUY,500
2006-04-18,IBM,SELL,500
2006-05-03,IBM,SELL,500
2006-05-18,IBM,BUY,500
2006-06-08,IBM,BUY,500
2006-07-03,IBM,SELL,500
2006-07-27,IBM,SELL,500
2006-08-11,IBM,BUY,500
2006-09-22,IBM,BUY,500
2006-10-09,IBM,SELL,500
2006-11-27,IBM,BUY,500
2007-01-04,IBM,SELL,500
2007-01-22,IBM,BUY,500
2007-02-07,IBM,SELL,500
2007-02-23,IBM,BUY,500
2007-03-20,IBM,SELL,500
2007-04-13,IBM,BUY,500
2007-04-30,IBM,SELL,500
2007-05-24,IBM,BUY,500
2007-06-15,IBM,SELL,500
2007-07-06,IBM,SELL,500
2007-07-31,IBM,BUY,500
2007-08-15,IBM,BUY,500
2007-08-31,IBM,SELL,500
2007-10-01,IBM,SELL,500
2007-10-18,IBM,BUY,500
2007-11-08,IBM,BUY,500
2007-11-28,IBM,SELL,500
2007-12-14,IBM,BUY,500
2008-01-23,IBM,SELL,500
2008-02-08,IBM,BUY,500
2008-02-26,IBM,SELL,500
2008-03-31,IBM,BUY,500
2008-04-16,IBM,SELL,500
2008-05-13,IBM,SELL,500
2008-06-06,IBM,BUY,500
2008-06-27,IBM,BUY,500
2008-07-15,IBM,SELL,500
2008-08-11,IBM,BUY,500
2008-09-19,IBM,SELL,500
2008-10-06,IBM,BUY,500
2008-10-30,IBM,SELL,500
2008-11-20,IBM,BUY,500
2008-12-08,IBM,SELL,500
2008-12-23,IBM,BUY,500
2009-01-21,IBM,SELL,500
2009-02-17,IBM,BUY,500
2009-03-13,IBM,SELL,500
2009-04-27,IBM,BUY,500
2009-06-01,IBM,SELL,500
2009-06-18,IBM,BUY,500
2009-07-15,IBM,SELL,500
2009-08-17,IBM,BUY,500
2009-09-11,IBM,SELL,500
2009-09-29,IBM,BUY,500
2009-10-14,IBM,SELL,500
2009-10-29,IBM,BUY,500
2009-12-11,IBM,SELL,500
